Season,Week,Player,Position,Team,Opponent,Pass_Comp,Pass_Att,Pass_Yards,Pass_TD,Pass_Int,Rush_Att,Rush_Yards,Rush_TD,Rec_Targets,Rec_Recep,Rec_Yards,Rec_TD,Snapcount
2024,1,Xavier Hutchinson,WR,HOU,@ IND,0,0,0,0,0,0,0,0,0,1,3,0,0
2024,1,Adonai Mitchell,WR,IND,VS HOU,0,0,0,0,0,0,0,0,0,1,2,0,0
2024,1,Alec Pierce,WR,IND,VS HOU,0,0,0,0,0,0,0,0,0,3,125,1,0
2024,1,Anthony Gould,WR,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Anthony Richardson,QB,IND,VS HOU,0,0,212,2,1,6,56,1,0,0,0,0,0
2024,1,Ashton Dulin,WR,IND,VS HOU,0,0,0,0,0,0,0,0,0,1,54,1,0
2024,1,Drew Ogletree,TE,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Evan Hull,RB,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Joe Flacco,QB,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jonathan Taylor,RB,IND,VS HOU,0,0,0,0,0,16,48,1,0,0,0,0,0
2024,1,Josh Downs,WR,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Kylen Granson,TE,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Laquon Treadwell,WR,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Michael Pittman Jr,WR,IND,VS HOU,0,0,0,0,0,0,0,0,0,4,31,0,0
2024,1,Mo Alie-Cox,TE,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Trey Sermon,RB,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Tyler Goodson,RB,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Will Mallory,TE,IND,VS HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Austin Trammell,WR,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Brenton Strange,TE,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Brian Thomas Jr,WR,JAX,@ MIA,0,0,0,0,0,0,0,0,0,4,47,1,0
2024,1,Christian Kirk,WR,JAX,@ MIA,0,0,0,0,0,0,0,0,0,1,30,0,0
2024,1,D'Ernest Johnson,RB,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Devin Duvernay,WR,JAX,@ MIA,0,0,0,0,0,1,3,0,0,0,0,0,0
2024,1,Elijah Cooks,WR,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Evan Engram,TE,JAX,@ MIA,0,0,0,0,0,0,0,0,0,1,5,0,0
2024,1,Gabe Davis,WR,JAX,@ MIA,0,0,0,0,0,0,0,0,0,3,62,0,0
2024,1,Josh Reynolds,WR,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Joshua Cephus,WR,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Josiah Deguara,TE,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Keilan Robinson,RB,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Luke Farrell,TE,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Mac Jones,QB,JAX,@ MIA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Parker Washington,WR,JAX,@ MIA,0,0,0,0,0,0,0,0,0,1,3,0,0
2024,1,Tank Bigsby,RB,JAX,@ MIA,0,0,0,0,0,12,73,0,0,0,0,0,0
